title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
"NCAA West Virginia Mountaineers Clean Up Adjustable Hat, One Size, Navy",https://amazon.com/47-NCAA-Mountaineers-Clean-Up/dp/B009SKKP9O/ref=sr_1_17?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-17,https://m.media-amazon.com/images/I/81TgzD1vhJL._AC_UL960_QL65_ML3_.jpg,5.0,1,$19.99,True,,,False
The Game North Carolina Tar Heels Adult Gameday Bar Adjustable Hat - White,https://amazon.com/Carolina-Unisex-Game-Design-Adjustable/dp/B01M0607E7/ref=sr_1_18?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-18,https://m.media-amazon.com/images/I/61SmiKaOGVL._AC_UL960_QL65_ML3_.jpg,5.0,2,$17.99,True,,,False
Northwestern Wildcats Adult Game Bar Adjustable Hat - White,https://amazon.com/Northeastern-Illinois-Golden-Game-Adjustable/dp/B01LYSLJXC/ref=sr_1_19?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-19,https://m.media-amazon.com/images/I/610yj7CWU+L._AC_UL960_QL65_ML3_.jpg,5.0,1,$17.99,True,,,False
"NCAA Rutgers Scarlet Knights Unisex NCAA The Game bar Design Hat, White, Adjustable",https://amazon.com/Rutgers-Scarlet-Knights-Game-Adjustable/dp/B01LXTGTTS/ref=sr_1_20?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-20,https://m.media-amazon.com/images/I/61BUzN2ch9L._AC_UL960_QL65_ML3_.jpg,5.0,1,$17.99,True,,,False
Tennessee Volunteers Adult Game Bar Adjustable Hat - White,https://amazon.com/Game-Tennessee-Volunteers-Unisex-Adjustable/dp/B01LZ6R6SR/ref=sr_1_21?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-21,https://m.media-amazon.com/images/I/61m1BGi0awL._AC_UL960_QL65_ML3_.jpg,4.2,8,$17.99,True,,,False
"Colorado Buffaloes Adult Game Bar Adjustable Hat - White,",https://amazon.com/Colorado-Buffaloes-Unisex-Game-Adjustable/dp/B01LXTGWAR/ref=sr_1_22?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-22,https://m.media-amazon.com/images/I/71HmaZWpvOL._AC_UL960_QL65_ML3_.jpg,2.6,4,$17.99,True,,,False
"Pepperdine Waves Adult Game Bar Adjustable Hat - White,",https://amazon.com/Pepperdine-Unisex-Game-Design-Adjustable/dp/B01LYSLHHG/ref=sr_1_23?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-23,https://m.media-amazon.com/images/I/61oY1O15PtL._AC_UL960_QL65_ML3_.jpg,,,$17.99,True,,,False
"Northeastern State Riverhawks Adult Game Bar Adjustable Hat - White,",https://amazon.com/Northeastern-Huskies-Unisex-Game-Adjustable/dp/B01M12N7G3/ref=sr_1_24?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-24,https://m.media-amazon.com/images/I/61OG7YKqpDL._AC_UL960_QL65_ML3_.jpg,,,$17.99,True,,,False
"Top of the World Indiana Hoosiers Adult NCAA Park Adjustable Hat - Team Color,",https://amazon.com/Top-World-Indiana-Hoosiers-Adjustable/dp/B07757PSY2/ref=sr_1_25?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-25,https://m.media-amazon.com/images/I/71IdeY1ktrL._AC_UL960_QL65_ML3_.jpg,,,$12.99,True,,,False
The Game Colorado State Rams Adult Gameday Bar Adjustable Hat - White,https://amazon.com/Colorado-Unisex-Game-Design-Adjustable/dp/B01LYSLHWG/ref=sr_1_26?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-26,https://m.media-amazon.com/images/I/61XJTJLYPIL._AC_UL960_QL65_ML3_.jpg,5.0,1,$17.99,True,,,False
The Game NCAA Unisex KNS BAR,https://amazon.com/Kansas-Jayhawks-Unisex-Game-Adjustable/dp/B01LYV2HCT/ref=sr_1_27?dchild=1&keywords=temple+university+hat&qid=1585383880&sr=8-27,https://m.media-amazon.com/images/I/61bcQvruUpL._AC_UL960_QL65_ML3_.jpg,,,$17.84,True,,,False
