title,url,img_ref,star_count,review_count,price,is_free_shipping,shipping_price,limited_stock,additional_buy_options
Vizio V405-G9 40-inch 4K 2160p 120hz LED Smart HDR Ultra HDTV (Renewed),https://amazon.com/Vizio-V405-G9-40-inch-2160p-Renewed/dp/B07Y8SQQLG/ref=sr_1_14?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-14,https://m.media-amazon.com/images/I/61RorFwqvsL._AC_UY654_QL65_ML3_.jpg,3.7,22,$224.95,True,,19,False
Insignia NS-43DF710NA19 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition,https://amazon.com/Insignia-NS-43DF710NA19-43-inch-Ultra-Smart/dp/B07FPQXN46/ref=sr_1_15?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-15,https://m.media-amazon.com/images/I/41ZoJhMEP7L._AC_UY500_QL65_ML3_.jpg,4.5,10024,$239.99,True,,,False
Hisense 55H8F 55-inch 4K Ultra HD Android Smart LED TV HDR10  (2019),https://amazon.com/Hisense-55H8F-55-inch-Ultra-Android/dp/B07NYQNVY4/ref=sr_1_16?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-16,https://m.media-amazon.com/images/I/81Z3y4M5r5L._AC_UY654_QL65_ML3_.jpg,4.0,296,$399.99,True,,,False
"Westinghouse 24"" HD LED TV",https://amazon.com/Westinghouse-24-HD-LED-TV/dp/B07ZTR5MBV/ref=sr_1_17?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-17,https://m.media-amazon.com/images/I/81ef3ywri2L._AC_UY654_QL65_ML3_.jpg,4.8,9,$100.99,False,$8.02,4,False
"Apple TV (32GB, 4th generation)",https://amazon.com/Apple-TV-32GB-4th-generation/dp/B075NFX24M/ref=sr_1_18?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-18,https://m.media-amazon.com/images/I/41LpF5n38kL._AC_UY654_QL65_ML3_.jpg,4.7,2436,$149.00,True,,,True
"Samsung Electronics UN32N5300AFXZA 32"" 1080p Smart LED TV (2018), Black",https://amazon.com/Samsung-Electronics-UN32N5300AFXZA-1080p-Smart/dp/B07CL4GLQW/ref=sr_1_19?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-19,https://m.media-amazon.com/images/I/91UsHjAPTlL._AC_UY654_QL65_ML3_.jpg,4.2,445,,False,,,True
[LATEST 2020] Amplified HD Digital TV Antenna Long 120 Miles Range - Support 4K 1080p Fire tv Stick and All Older TV's Indoor Powerful HDTV Amplifier Signal Booster - 18ft Coax Cable/AC Adapter,https://amazon.com/LATEST-Amplified-Digital-Antenna-Miles/dp/B07XQLW1H7/ref=sr_1_20?dchild=1&keywords=hd+tv&qid=1585364494&sr=8-20,https://m.media-amazon.com/images/I/719yloGcM0L._AC_UY654_QL65_ML3_.jpg,4.4,4809,$27.90,True,,,True
"Samsung UN75RU8000FXZA Flat 75-Inch 4K 8 Series Ultra HD Smart TV with HDR and Alexa Compatibility (2019 Model), Gray",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06799713RFWWDX10UZ4R&url=%2FSamsung-UN75RU8000FXZA-Flat-UHD-Smart%2Fdp%2FB07NC9Q1VJ%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-21-spons%26psc%3D1%26smid%3DA2K7RN1DSQCI9O&qualifier=1585364494&id=7491218165384443&widgetName=sp_btf,https://m.media-amazon.com/images/I/71ayXpGfO8L._AC_UY654_QL65_ML3_.jpg,4.5,1104,,True,,,False
"Fire TV Cube, hands-free with Alexa built in, 4K Ultra HD, streaming media player, released 2019",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_2?ie=UTF8&adId=A07488843I0Y7HDLR5E1U&url=%2Fall-new-fire-tv-cube-with-alexa-voice-remote%2Fdp%2FB07KGVB6D6%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dhd%2Btv%26qid%3D1585364494%26sr%3D8-22-spons%26psc%3D1&qualifier=1585364494&id=7491218165384443&widgetName=sp_btf,https://m.media-amazon.com/images/I/41fziVetM7L._AC_UY654_QL65_ML3_.jpg,4.3,8014,$119.99,True,,,False
TOSHIBA 43LF711U20 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0677249DQMP719W3QDS&url=%2FTOSHIBA-43LF711U20-43-inch-Ultra-Smart%2Fdp%2FB07SB1BMM9%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dhd%2Btv%26qid%3D1585364505%26sr%3D8-17-spons%26psc%3D1&qualifier=1585364504&id=7468430639703371&widgetName=sp_atf_next,https://m.media-amazon.com/images/I/41erwwQzAnL._AC_UY500_QL65_ML3_.jpg,4.4,18734,$249.99,True,,,False
